,source,target,color,title
0,A,M,#3EADA5,1:1
1,A,Aer Lingus,#3EADA5,1:1
2,A,AirFrance,#3EADA5,1:1
3,A,KLM,#3EADA5,1:1
4,A,Air Canada,#3EADA5,1:1
5,A,ANA,#3EADA5,1:1
6,A,Lifemiles,#3EADA5,1:1
7,A,British,#3EADA5,1:1
8,A,Virgin Atlantic,#3EADA5,1:1
9,A,AeroMexico,#3EADA5,1:1
10,A,CATHAY,#3EADA5,1:1
11,A,DELTA,#3EADA5,1:1
12,A,Emirates,#3EADA5,1:1
13,A,Hawaiian,#3EADA5,1:1
14,A,Iberia,#3EADA5,1:1
15,A,JetBlue,#3EADA5,1:1
16,A,Qantas,#3EADA5,1:1
17,A,Qatar,#3EADA5,1:1
18,A,Singapore,#3EADA5,1:1
19,B,M,#7D7D7D,1:1
20,B,Alaska,#7D7D7D,1:1
21,B,American,#7D7D7D,1:1
22,B,AirFrance,#7D7D7D,1:1
23,B,KLM,#7D7D7D,1:1
24,B,Air Canada,#7D7D7D,1:1
25,B,United,#7D7D7D,1:1
26,B,Virgin Atlantic,#7D7D7D,1:1
27,B,Turkish,#7D7D7D,1:1
28,B,British,#7D7D7D,1:1
29,B,CATHAY,#7D7D7D,1:1
30,B,Lifemiles,#7D7D7D,1:1
31,B,Iberia,#7D7D7D,1:1
32,B,Aer Lingus,#7D7D7D,1:1
33,B,Emirates,#7D7D7D,1:1
34,B,Hawaiian,#7D7D7D,1:1
35,Ci,AeroMexico,#E09233,1:1
36,Ci,Lifemiles,#E09233,1:1
37,Ci,CATHAY,#E09233,1:1
38,Ci,Emirates,#E09233,1:1
39,Ci,Etihad,#E09233,1:1
40,Ci,EVA,#E09233,1:1
41,Ci,AirFrance,#E09233,1:1
42,Ci,KLM,#E09233,1:1
43,Ci,JetBlue,#E09233,1:1
44,Ci,Qantas,#E09233,1:1
45,Ci,Qatar,#E09233,1:1
46,Ci,Singapore,#E09233,1:1
47,Ci,Thai,#E09233,1:1
48,Ci,Turkish,#E09233,1:1
49,Ci,Virgin Atlantic,#E09233,1:1
50,Ch,M,#4478BC,1:1
51,Ch,Aer Lingus,#4478BC,1:1
52,Ch,Air Canada,#4478BC,1:1
53,Ch,British,#4478BC,1:1
54,Ch,AirFrance,#4478BC,1:1
55,Ch,KLM,#4478BC,1:1
56,Ch,Iberia,#4478BC,1:1
57,Ch,Singapore,#4478BC,1:1
58,Ch,JetBlue,#4478BC,1:1
59,Ch,Southwest,#4478BC,1:1
60,Ch,United,#4478BC,1:1
61,Ch,Virgin Atlantic,#4478BC,1:1
62,Co,AirFrance,#284278,1:1
63,Co,KLM,#284278,1:1
64,Co,Virgin Atlantic,#284278,1:1
65,Co,AeroMexico,#284278,1:1
66,Co,Air Canada,#284278,1:1
67,Co,CATHAY,#284278,1:1
68,Co,Lifemiles,#284278,1:1
69,Co,British,#284278,1:1
70,Co,Emirates,#284278,1:1
71,Co,Etihad,#284278,1:1
72,Co,EVA,#284278,1:1
73,Co,FINNAIR,#284278,1:1
74,Co,Qantas,#284278,1:1
75,Co,TAP,#284278,1:1
76,Co,Singapore,#284278,1:1
77,Co,Turkish,#284278,1:1
78,M,Aegean,#FFEB98,3:1
79,M,Aer Lingus,#FFEB98,3:1
80,M,AeroMexico,#FFEB98,3:1
81,M,Air Canada,#FFEB98,3:1
82,M,Air China,#FFEB98,3:1
83,M,AirFrance,#FFEB98,3:1
84,M,KLM,#FFEB98,3:1
85,M,Alaska,#FFEB98,3:1
86,M,American,#FFEB98,3:1
87,M,ANA,#FFEB98,3:1
88,M,ASIANA,#FFEB98,3:1
89,M,China Southern,#FFEB98,3:1
90,M,Copa,#FFEB98,3:1
91,M,DELTA,#FFEB98,3:1
92,M,Emirates,#FFEB98,3:1
93,M,Etihad,#FFEB98,3:1
94,M,FRONTIER,#FFEB98,3:1
95,M,Hainan,#FFEB98,3:1
96,M,Hawaiian,#FFEB98,3:1
97,M,Iberia,#FFEB98,3:1
98,M,InterMiles,#FFEB98,3:1
99,M,JAL,#FFEB98,3:1
100,M,Korean,#FFEB98,3:1
101,M,LATAM,#FFEB98,3:1
102,M,Qantas,#FFEB98,3:1
103,M,Qatar,#FFEB98,3:1
104,M,Saudia,#FFEB98,3:1
105,M,Singapore,#FFEB98,3:1
106,M,Southwest,#FFEB98,3:1
107,M,TAP,#FFEB98,3:1
108,M,Thai,#FFEB98,3:1
109,M,Turkish,#FFEB98,3:1
110,M,United,#FFEB98,3:1
111,M,Virgin Atlantic,#FFEB98,3:1
112,M,Virgin Australia,#FFEB98,3:1
113,M,Vueling,#FFEB98,3:1
114,W,Lifemiles,#AA2D35,1:1
115,W,AirFrance,#AA2D35,1:1
116,W,KLM,#AA2D35,1:1
117,W,British,#AA2D35,1:1
118,W,Iberia,#AA2D35,1:1
119,W,Aer Lingus,#AA2D35,1:1
120,Aer Lingus,Vueling,lightgray,
121,Aer Lingus,Qatar,lightgray,
122,Aer Lingus,Iberia,lightgray,
123,Aer Lingus,British,lightgray,
124,Aer Lingus,FINNAIR,lightgray,
125,Aer Lingus,Alaska,lightgray,
126,Aegean,Air Canada,lightgray,
127,Aegean,Air China,lightgray,
128,Aegean,Air India,lightgray,
129,Aegean,Air New Zealand,lightgray,
130,Aegean,ANA,lightgray,
131,Aegean,ASIANA,lightgray,
132,Aegean,Austrian,lightgray,
133,Aegean,Lifemiles,lightgray,
134,Aegean,Brussels,lightgray,
135,Aegean,Copa,lightgray,
136,Aegean,CROATIA,lightgray,
137,Aegean,EGYPTAIR,lightgray,
138,Aegean,Ethiopian,lightgray,
139,Aegean,EVA,lightgray,
140,Aegean,LOT Polish,lightgray,
141,Aegean,Lufthansa,lightgray,
142,Aegean,SAS,lightgray,
143,Aegean,Shenzhen,lightgray,
144,Aegean,Singapore,lightgray,
145,Aegean,Swiss,lightgray,
146,Aegean,TAP,lightgray,
147,Aegean,Thai,lightgray,
148,Aegean,Turkish,lightgray,
149,Aegean,United,lightgray,
150,Air Canada,Air China,lightgray,
151,Air Canada,Air India,lightgray,
152,Air Canada,Air New Zealand,lightgray,
153,Air Canada,ANA,lightgray,
154,Air Canada,ASIANA,lightgray,
155,Air Canada,Austrian,lightgray,
156,Air Canada,Lifemiles,lightgray,
157,Air Canada,Brussels,lightgray,
158,Air Canada,Copa,lightgray,
159,Air Canada,CROATIA,lightgray,
160,Air Canada,EGYPTAIR,lightgray,
161,Air Canada,Ethiopian,lightgray,
162,Air Canada,EVA,lightgray,
163,Air Canada,LOT Polish,lightgray,
164,Air Canada,Lufthansa,lightgray,
165,Air Canada,SAS,lightgray,
166,Air Canada,Shenzhen,lightgray,
167,Air Canada,Singapore,lightgray,
168,Air Canada,Swiss,lightgray,
169,Air Canada,TAP,lightgray,
170,Air Canada,Thai,lightgray,
171,Air Canada,Turkish,lightgray,
172,Air Canada,United,lightgray,
173,Air Canada,Virgin Australia,lightgray,
174,Air China,Air India,lightgray,
175,Air China,Air New Zealand,lightgray,
176,Air China,ANA,lightgray,
177,Air China,ASIANA,lightgray,
178,Air China,Austrian,lightgray,
179,Air China,Lifemiles,lightgray,
